filename,r_mean,g_mean,b_mean,r_std,g_std,b_std,h_mean,v_mean,h_std,v_std,quality
imagens/selecionadas/movimento/164_XIAOMI-MI8-SE_M.jpg,114.42524719238281,102.34021759033203,44.66639709472656,72.90260462520422,65.119766328296,49.39155520327316,6.665228949652778,4.422914293077257,12.14002434130649,5.792981445265584,0
imagens/selecionadas/movimento/119_HONOR-7X_M.jpg,182.4907569885254,188.60564041137695,180.97001266479492,58.84245750573143,54.49244576341995,60.987114507463744,2.4652040269639754,4.587816874186199,3.3961924602260147,7.384681740922838,0
imagens/selecionadas/movimento/289_WILEYFOX-SWIFT-2-PLUS_M.jpg,103.23227310180664,62.10987854003906,42.09607696533203,36.67234060780893,33.589392832585,26.543237515709446,2.729252285427517,2.249923706054688,3.4776844961038478,2.2648946417303857,0
imagens/selecionadas/movimento/324_ASUS-ZENFONE-LIVE-ZB501KL_M.jpg,113.3459358215332,106.64291000366211,90.9253921508789,76.95942361521708,76.39214311520381,60.76954922885655,3.5277591281467013,1.6425136990017364,3.8568271866407304,1.572779994160621,0
imagens/selecionadas/movimento/160_HUAWEI-P20-LITE_M.jpg,80.1670913696289,69.16636276245117,66.77323150634766,62.49501625222054,58.587352767755,52.098386763716874,4.029256184895834,2.4599643283420143,5.536103877834015,3.034781670125635,0
imagens/selecionadas/movimento/37_HONOR-8X_M.jpg,109.18658828735352,108.24882888793945,113.244873046875,60.45949271559017,57.630989016379544,58.41765527975906,3.5261942545572924,4.338437398274739,4.5400290860306205,7.2476811143992705,0
imagens/selecionadas/movimento/336_ASUS-ZENFONE-LIVE-ZB501KL_M.jpg,109.9762954711914,114.31380462646484,109.46429443359375,42.35049678416797,48.91921588480685,60.86694607875309,5.985486348470052,2.8443578084309897,6.832624407996158,3.0781273047819884,0
imagens/selecionadas/movimento/210_CANON-6D-70-200MM_M.JPG,96.5970230102539,88.07736587524414,68.87699890136719,61.699713252706005,58.26453719057456,46.82129336848256,2.36492919921875,5.287197536892362,3.213540043311805,10.59289027585356,0
imagens/selecionadas/movimento/237_SAMSUNG-GALAXY-J5_M.jpg,147.88949966430664,149.3990135192871,149.30987548828125,23.647661765063884,23.417723474731996,23.96191421726754,5.402093675401477,2.3767115275065103,6.249103086424363,1.9988786509002028,0
imagens/selecionadas/movimento/42_NIKON-D3400-35MM_M.JPG,17.548988342285156,11.588523864746094,27.48525619506836,31.172121641736275,26.557251873779826,26.914273899806584,2.274736192491319,3.101711697048611,8.440448455656263,11.31802779103609,0
imagens/selecionadas/movimento/316_IPHONE-7_M.jpeg,166.4942626953125,160.54402923583984,155.40985107421875,75.01959601610284,75.84749223577006,79.79971164662233,4.584807501898871,2.5963312784830728,9.212380993650026,3.991068001799201,0
imagens/selecionadas/movimento/190_NIKON-D3400-18-55MM_M.JPG,136.71588897705078,136.67010498046875,136.59894561767578,14.412662954374683,14.614763205520376,14.627610134891999,1.1808234320746533,1.727269490559896,1.2427833202444492,4.237593033826459,0
imagens/selecionadas/movimento/17_HUAWEI-MATE20_M.jpg,144.25770950317383,83.88263320922852,86.84748840332031,59.201475366015174,40.969893589004876,42.26778460044686,8.377677917480469,4.411803351508247,13.21935725802809,6.316034039206185,0
imagens/selecionadas/movimento/313_XIAOMI-PROCOFONE-F1_M.jpg,122.9484748840332,114.78843307495117,109.2308578491211,48.09114786685723,47.086840057680895,46.60938870660294,3.997343275282118,2.898567199707031,7.496900400314116,4.577803752670426,0
imagens/selecionadas/movimento/142_NIKON-D3400-18-55MM_M.JPG,129.0706329345703,132.02677154541016,122.92599868774414,52.08849683651634,50.57879029644963,63.8940747425221,9.653429667154949,3.630349900987413,15.69186732717337,4.974366196496786,0
imagens/selecionadas/movimento/347_XIAOMI-PROCOFONE-F1_M.jpg,152.9959259033203,144.41820526123047,142.55756759643555,43.8779615679197,49.853485138534815,51.79974816630805,5.05608876546224,2.852130466037327,8.47371986913637,3.874787789844136,0
imagens/selecionadas/movimento/339_XIAOMI-REDMI-4X_M.jpg,115.68558120727539,115.53794479370117,111.87994766235352,44.95140578518359,43.72484831581991,43.37033446591683,5.116243150499132,2.315455118815104,8.230148849859672,2.2533265008787753,0
imagens/selecionadas/movimento/314_IPHONE-5S_M.jpeg,120.46376419067383,107.03541564941406,110.68094635009766,77.74926482208254,75.73878676008411,71.92786367430526,3.307765536838108,5.139539082845053,5.634275896580639,8.916694009971808,0
imagens/selecionadas/movimento/56_HONOR-8X_M.jpg,113.14571762084961,98.93429565429688,92.32461166381836,55.43357567669552,58.4671662062265,59.31788474689226,2.749986436631944,5.494613647460937,3.1449119822078946,8.352391537035038,0
imagens/selecionadas/movimento/267_SONY-NEX-5T_M.JPG,144.94090270996094,149.38720321655273,149.63511276245117,43.46863189899662,52.379488029814944,68.80046483373711,1.5327597724066846,1.7932730780707467,2.2695475392090234,3.5919258321513823,0
imagens/selecionadas/movimento/230_NOKIA-21_M.jpg,137.70644760131836,119.32811737060547,111.20166778564453,68.65039074342063,70.0953362787542,72.18521483481756,2.1673329671223955,2.7951202392578116,2.5910190986047548,5.2429198471038285,0
imagens/selecionadas/movimento/263_XIAOMI-REDMI-3S_M.jpg,96.62376022338867,99.00906753540039,98.21893310546875,60.97639561603426,58.50976720429711,58.19389788277158,6.816882663302948,6.0534498426649295,12.342695769667964,12.098560140722507,0
imagens/selecionadas/movimento/32_HUAWEI-P-SMART_M.jpg,116.17071151733398,61.9642333984375,84.6107406616211,69.19617823286656,60.10886706389741,56.2524542107361,2.9601270887586804,2.6921259562174473,4.864016086595548,4.26857318216272,0
imagens/selecionadas/movimento/341_XIAOMI-PROCOFONE-F1_M.jpg,112.0903205871582,103.78831100463867,101.75716018676758,54.06862350727605,49.143139768169895,47.90459418117177,2.431529574924045,1.7238744099934897,3.2266503111612725,1.710825218850615,0
imagens/selecionadas/movimento/177_HONOR-7X_M.jpg,144.45389938354492,131.2923355102539,107.91886138916016,44.83409208705759,49.882719017587924,59.92494664265012,3.1177435980902777,4.001124064127604,5.180077288092058,7.908847393676126,0
imagens/selecionadas/movimento/255_XIAOMI-REDMI-7_M.jpg,135.99724960327148,128.1667137145996,117.55268096923828,56.68575724174318,51.8853917428273,46.69678240503885,6.805211385091145,2.553156534830729,9.981970467235303,2.741501318056298,0
